gene,mean_healthy,mean_disease,log2FC,pvalue,cohens_d,FDR
ENSG00000121058,3.9434160761953887,3.854210614540302,-0.0892054616550868,0.5130087574734329,0.11642710562806258,0.9998566354027545
ENSG00000121064,6.1639273885583235,6.117801550784484,-0.046125837773839606,0.8557514903072653,0.03233654827940797,0.9998566354027545
ENSG00000121057,3.2635367971037708,3.2080595452850886,-0.05547725181868213,0.7310404569067059,0.061183456313342474,0.9998566354027545
ENSG00000153944,4.671254473817875,4.715140486267607,0.04388601244973245,0.8114496022332403,-0.04249350101989938,0.9998566354027545
ENSG00000181610,3.3694973573292835,3.35758091833766,-0.011916438991623313,0.9231369609166773,0.017244436917582595,0.9998566354027545
ENSG00000180891,0.6519826199574908,0.7594921719926161,0.10750955203512524,0.6369816327027815,-0.08410426360104489,0.9998566354027545
ENSG00000136451,6.326275703810148,6.293800512856295,-0.03247519095385254,0.7895294846647538,0.04747365630898927,0.9998566354027545
ENSG00000136450,7.25441508127357,7.2551691074916995,0.0007540262181295887,0.9932083213809433,-0.0015158803647198971,0.9998566354027545
ENSG00000264364,1.1448864072247846,1.2234537288806475,0.07856732165586289,0.4433320470535351,-0.13652251361048343,0.9998566354027545
ENSG00000011143,4.268345279191617,4.183817282387508,-0.08452799680410905,0.6667942375666784,0.07659925550940329,0.9998566354027545
ENSG00000167419,1.2412923241214928,1.3784309873573604,0.13713866323586754,0.19052748274310377,-0.23393120694169114,0.9998566354027545
ENSG00000005381,1.174319893805831,0.9243335120174235,-0.24998638178840749,0.4305715167873789,0.1405478453980409,0.9998566354027545
ENSG00000005379,3.6518400833996094,3.6215952887306377,-0.030244794668971675,0.9176399915466894,0.018395342910578132,0.9998566354027545
ENSG00000213246,6.0000372811410445,5.987952248677592,-0.012085032463452272,0.9129554252137915,0.019439046312181185,0.9998566354027545
ENSG00000108375,1.9701620576609298,1.8859443138560732,-0.08421774380485658,0.6319635110313595,0.08521866749031369,0.9998566354027545
ENSG00000176160,1.2343174319919787,1.1371265649655125,-0.09719086702646629,0.5416266879308911,0.10863994870406607,0.9998566354027545
ENSG00000108389,4.521734163899681,4.518431971146229,-0.0033021927534520046,0.9711680275535162,0.006430563070951328,0.9998566354027545
ENSG00000108387,1.9560359150243511,1.9979497160986048,0.04191380107425369,0.7742469584056988,-0.051050637588754236,0.9998566354027545
ENSG00000121101,1.4260571099103667,1.51552845055488,0.08947134064451334,0.381959292893134,-0.15578786274219011,0.9998566354027545
ENSG00000108384,4.688889660269133,4.685594073901822,-0.0032955863673116426,0.9769078569442639,0.005149412098718836,0.9998566354027545
ENSG00000108395,3.848748219581591,3.8730562155881763,0.024307996006585064,0.8657056675679184,-0.030075590434084976,0.9998566354027545
ENSG00000182628,4.396052972137322,4.348184672657139,-0.04786829948018312,0.7010424722800213,0.06848784170868309,0.9998566354027545
ENSG00000068489,2.757850851178106,2.6789531527720483,-0.07889769840605787,0.5198830935649618,0.11487129449455472,0.9998566354027545
ENSG00000167447,3.4898288541118463,3.3525133457744727,-0.1373155083373736,0.31387618414922974,0.17948076674423424,0.9998566354027545
ENSG00000153982,2.9538304576487207,2.9491805314597963,-0.004649926188924347,0.9749308618573407,0.005590276997304706,0.9998566354027545
ENSG00000175155,4.429489988635581,4.373277466713189,-0.0562125219223919,0.7492746239496059,0.056858674574603384,0.9998566354027545
ENSG00000108406,4.785704921175514,4.6510908886289615,-0.13461403254655213,0.13239921065049876,0.2689186614425422,0.9998566354027545
ENSG00000141367,6.3088442293394085,6.235352434626129,-0.07349179471327982,0.3757896375184654,0.15788329918307337,0.9998566354027545
ENSG00000141378,3.266867404252551,3.3260895382545375,0.059222134001986504,0.5257860095681157,-0.11314088338701837,0.9998566354027545
ENSG00000062716,7.211593549778674,7.210932141556909,-0.0006614082217648587,0.9974806330824898,0.0005619559863241978,0.9998566354027545
ENSG00000108423,4.392964152466311,4.403415220854315,0.010451068388004359,0.934233938496132,-0.014680813386143814,0.9998566354027545
ENSG00000108443,5.692107054518187,5.650696422662727,-0.041410631855460345,0.6760990147937697,0.0745960118018963,0.9998566354027545
ENSG00000189050,6.267604761823954,6.267624753571584,1.999174763067657e-05,0.9998566354027545,-3.196290599877509e-05,0.9998566354027545
ENSG00000068097,4.958094191994399,4.772291049072575,-0.18580314292182365,0.17199015623203318,0.24433291322722878,0.9998566354027545
ENSG00000167434,0.38995498642697496,0.41160404449064436,0.021649058063669402,0.9238243518270686,-0.01700386693557921,0.9998566354027545
ENSG00000170832,4.332162183874151,4.3342512167901885,0.002089032916037681,0.9893269836476739,-0.002381884720213024,0.9998566354027545
ENSG00000062725,5.156511339224233,4.992143774550792,-0.16436756467344082,0.1636130165918029,0.24870930708366645,0.9998566354027545
ENSG00000170836,4.214948805491288,4.14530314597324,-0.06964565951804769,0.4476496657513056,0.1353180219079822,0.9998566354027545
ENSG00000141376,5.6993142056157176,5.709057094575723,0.009742888960005303,0.9233516953612604,-0.017182529207901816,0.9998566354027545
ENSG00000136492,2.4089543536041345,2.579342076295094,0.17038772269095936,0.16354612771229218,-0.24875264322824048,0.9998566354027545
ENSG00000108506,2.7765584923041438,2.7867492580700115,0.010190765765867749,0.9398027641435718,-0.013431976775609929,0.9998566354027545
ENSG00000108510,5.379917713402606,5.404752653126234,0.024834939723628047,0.8116433750911921,-0.04243658784362278,0.9998566354027545
ENSG00000172421,2.7003651613799056,2.8916144204610705,0.19124925908116497,0.10391526850348544,-0.29071783415862573,0.9998566354027545
ENSG00000087995,3.81942175566157,3.5864262118812253,-0.2329955437803446,0.0033400165442479712,0.5312918775296811,0.2526201760455939
ENSG00000146872,4.230605839967161,4.200766143580006,-0.029839696387155,0.7771685364435476,0.05049152271552429,0.9998566354027545
ENSG00000011028,0.779905335609206,0.7785448513056717,-0.001360484303534304,0.9921549094173718,0.0017502790405436411,0.9998566354027545
ENSG00000170921,2.3582920637721565,2.376042243515043,0.017750179742886285,0.9167489350693525,-0.01860138963962717,0.9998566354027545
ENSG00000008283,4.123249867027568,3.9576256360555977,-0.16562423097197065,0.6137721343282314,0.08981240116618439,0.9998566354027545
ENSG00000159640,2.291272563952159,2.1754602263905247,-0.11581233756163423,0.5904058509472944,0.09578581327039404,0.9998566354027545
ENSG00000136485,6.052414160835682,6.004275596561828,-0.0481385642738541,0.560635103389932,0.10354747944236245,0.9998566354027545
ENSG00000136463,3.513289257506692,3.4248959915316206,-0.08839326597507124,0.48896718258061256,0.12316837162352628,0.9998566354027545
ENSG00000198909,4.793743588714918,4.785328353339472,-0.00841523537544564,0.9513958595421457,0.010849072731190658,0.9998566354027545
ENSG00000266173,5.699276215777747,5.666742926403499,-0.03253328937424804,0.7370905655204829,0.059763752891268285,0.9998566354027545
ENSG00000136490,8.233402934216741,8.202935624297904,-0.03046730991883706,0.803366697793469,0.04442071388751161,0.9998566354027545
ENSG00000108588,5.832779462565382,5.754763263766657,-0.0780161987987249,0.3283544974783853,0.17447769221857143,0.9998566354027545
ENSG00000198231,5.390795390836702,5.393691933490667,0.002896542653964218,0.9795602520669522,-0.00456452752401257,0.9998566354027545
ENSG00000108592,5.055973464144161,4.913133829907279,-0.14283963423688206,0.2228684345056296,0.21773637028099468,0.9998566354027545
ENSG00000087191,7.256552692134525,7.339251785655454,0.08269909352092952,0.5406326480684883,-0.10890078252920611,0.9998566354027545
ENSG00000108604,4.371327387165165,4.375271586853788,0.003944199688623584,0.9661474360627074,-0.007550567328865345,0.9998566354027545
ENSG00000259384,0.4392617338174126,0.39247028150420815,-0.046791452313204474,0.7257523493467641,0.062437827770125826,0.9998566354027545
ENSG00000007312,5.414832024543221,5.345249481724147,-0.06958254281907461,0.8672151171091885,0.02976795449347888,0.9998566354027545
ENSG00000224383,2.7255058090114836,2.3870994803820347,-0.33840632862944897,0.0227495315033618,0.40965210900765014,0.6972557934407273
ENSG00000108622,6.773881547401299,6.737748118103182,-0.03613342929811658,0.8576751162346239,0.031936476874427196,0.9998566354027545
ENSG00000178607,5.376768717321092,5.260906602223547,-0.11586211509754474,0.6498989042859835,0.08078029339432646,0.9998566354027545
ENSG00000136478,3.170976319424976,3.021182832817425,-0.14979348660755099,0.3877443597019403,0.1538764468173827,0.9998566354027545
ENSG00000261371,6.7089610462868645,6.548523834497617,-0.1604372117892474,0.6783144669869081,0.07386193619013191,0.9998566354027545
ENSG00000271605,3.710265344075941,3.635087587595025,-0.07517775648091618,0.8086412071591447,0.04307988946734266,0.9998566354027545
ENSG00000256525,5.870374796726952,5.760907734435979,-0.1094670622909728,0.4089573514196212,0.1470390823546099,0.9998566354027545
ENSG00000108654,11.653730060935576,11.434791408785033,-0.21893865215054298,0.06243528348678116,0.33388030352108716,0.9998566354027545
ENSG00000258890,6.189697871963749,6.31069105595725,0.12099318399350079,0.4555598222603152,-0.13300518148777432,0.9998566354027545
ENSG00000108854,4.517012184691758,4.63048360392292,0.11347141923116144,0.3633213143957351,-0.1622212795937171,0.9998566354027545
